COL1 TIME FRAME ACC_X	ACC_Y	ACC_Z	GYR_X	GYR_Y	GYR_Z	MAG_X	MAG_Y	MAG_Z	 LACC_X LACC_Y	LACC_Z	 QUAT_X	QUAT_Y	QUAT_Z	QUAT_W
1 0.00 0 -0.129 -8.428 5.153 0.012 0.007 0.007 -145.555 4043.766 860.739 0.222 0.019 -0.121 -0.49 -0.01 0 0.87
1 0.01 1 0.024 -8.394 5.148 -0.030 0.005 0.001 -85.594 3998.795 770.798 0.068 -0.013 -0.112 -0.49 -0.01 0 0.87
1 0.02 2 0.101 -8.572 5.153 -0.098 0.004 -0.002 19.337 4103.727 695.847 -0.011 0.163 -0.120 -0.49 -0.01 0 0.87
1 0.03 3 0.038 -8.495 5.042 -0.104 0.002 0.001 49.318 4133.707 830.759 0.052 0.083 -0.016 -0.49 -0.01 0 0.87
1 0.04 4 0.225 -8.490 4.985 -0.137 0.001 0.001 49.318 4133.707 830.759 -0.135 0.073 0.034 -0.49 -0.01 0 0.87
1 0.05 5 0.081 -8.648 5.071 -0.118 0.001 -0.005 4.347 4133.707 830.759 0.010 0.226 -0.061 -0.49 -0.01 0 0.87
1 0.06 6 0.230 -8.639 5.066 -0.088 -0.005 -0.014 4.347 4133.707 830.759 -0.138 0.213 -0.063 -0.49 -0.01 -0 0.87
1 0.07 7 0.215 -8.787 5.071 -0.013 -0.010 -0.017 49.318 4133.707 830.759 -0.121 0.359 -0.072 -0.49 -0.01 -0 0.87
1 0.08 8 0.110 -8.734 5.095 0.034 -0.013 -0.007 94.289 4178.828 845.749 -0.013 0.305 -0.097 -0.49 -0.01 -0 0.87
1 0.09 9 0.182 -8.672 5.018 0.092 -0.022 -0.001 94.289 4178.828 845.749 -0.083 0.244 -0.018 -0.49 -0.01 -0 0.87
1 0.10 10 -0.014 -8.653 5.129 0.116 -0.027 -0.003 -25.483 4208.808 755.808 0.117 0.234 -0.114 -0.49 -0.01 -0 0.87
1 0.11 11 -0.005 -8.524 5.042 0.110 -0.024 0.010 -25.483 4208.808 755.808 0.109 0.111 -0.018 -0.49 -0.01 -0 0.87
1 0.12 12 -0.115 -8.418 5.057 0.100 -0.018 0.003 -25.483 4133.707 860.739 0.219 0.011 -0.023 -0.49 -0.01 -0 0.87
1 0.13 13 -0.062 -8.342 4.951 0.061 -0.015 0.010 -25.483 4133.707 860.739 0.167 -0.061 0.090 -0.49 -0.01 -0 0.87
1 0.14 14 -0.134 -8.279 5.042 0.007 -0.015 0.022 -25.483 4208.808 680.856 0.238 -0.121 0.004 -0.49 -0.01 -0 0.87
1 0.15 15 -0.057 -8.323 5.033 -0.075 -0.015 0.014 214.360 4148.697 770.798 0.160 -0.077 0.015 -0.49 -0.01 -0 0.87
1 0.16 16 0.053 -8.418 4.985 -0.123 -0.007 0.025 214.360 4148.697 770.798 0.048 0.017 0.059 -0.49 -0.01 0 0.87
1 0.17 17 0.239 -8.619 5.071 -0.121 -0.006 0.030 4.347 4043.766 785.788 -0.142 0.208 -0.043 -0.49 -0.01 0 0.87
1 0.18 18 0.206 -8.940 5.196 -0.089 -0.010 0.028 4.347 4043.766 785.788 -0.110 0.525 -0.175 -0.49 -0.01 0 0.87
1 0.19 19 0.335 -8.677 5.277 -0.040 0.001 0.028 -25.483 4013.785 680.856 -0.240 0.258 -0.262 -0.49 -0.01 0 0.87
1 0.20 20 0.359 -8.686 5.411 -0.029 0.003 0.034 -25.483 4013.785 680.856 -0.265 0.267 -0.397 -0.49 -0.01 0 0.87
1 0.21 21 0.287 -8.667 5.320 -0.001 0.014 0.031 -25.483 4208.808 890.870 -0.193 0.248 -0.306 -0.49 -0.01 0 0.87
1 0.22 22 0.187 -8.418 5.191 0.022 0.016 0.013 -25.483 4133.707 785.788 -0.094 0.000 -0.174 -0.49 -0.01 -0 0.87
1 0.23 23 0.230 -8.390 5.119 0.035 0.013 0.010 -25.483 4133.707 785.788 -0.137 -0.026 -0.099 -0.49 -0.01 -0 0.87
1 0.24 24 0.081 -8.318 4.947 0.047 0.004 0.001 -55.464 4028.775 875.729 0.011 -0.092 0.084 -0.49 -0.01 -0 0.87
1 0.25 25 -0.081 -8.323 4.927 0.044 -0.010 -0.010 -55.464 4028.775 875.729 0.175 -0.085 0.107 -0.49 -0.01 -0 0.87
1 0.26 26 -0.192 -8.356 4.918 0.010 -0.036 -0.013 94.289 4028.775 770.798 0.286 -0.049 0.120 -0.49 -0.01 -0 0.87
1 0.27 27 -0.182 -8.528 4.779 -0.022 -0.061 -0.020 94.289 4028.775 770.798 0.278 0.124 0.260 -0.49 -0.01 -0 0.87
