COL1 TIME FRAME ACC_X	ACC_Y	ACC_Z	GYR_X	GYR_Y	GYR_Z	MAG_X	MAG_Y	MAG_Z	 LACC_X LACC_Y	LACC_Z	 QUAT_X	QUAT_Y	QUAT_Z	QUAT_W
1 0.00 0 0.589 -9.568 1.360 -2.014 0.549 1.862 404.886 1019.936 4049.012 -0.487 -0.093 0.284 -0.02 -0.64 0.76 0.03
1 0.01 1 0.397 -9.797 1.403 -2.869 -0.641 1.282 494.978 974.965 4064.002 -0.295 0.136 0.235 -0.02 -0.64 0.76 0.03
1 0.02 2 0.455 -9.908 1.623 -3.113 -2.930 0.458 464.847 1079.896 3989.051 -0.351 0.245 0.010 -0.02 -0.65 0.76 0.03
1 0.03 3 0.354 -9.898 1.575 -1.740 -4.578 0.580 464.847 1079.896 3989.051 -0.249 0.235 0.051 -0.02 -0.65 0.76 0.03
1 0.04 4 0.350 -9.922 1.690 0.092 -5.981 1.801 494.978 1124.867 3884.120 -0.240 0.258 -0.069 -0.02 -0.65 0.76 0.03
1 0.05 5 0.417 -9.754 1.642 0.488 -6.378 1.434 449.857 1064.906 4004.042 -0.306 0.090 -0.021 -0.02 -0.65 0.76 0.03
1 0.06 6 0.536 -9.797 1.647 0.305 -5.432 1.617 419.876 1199.968 4019.032 -0.424 0.133 -0.025 -0.02 -0.65 0.76 0.03
1 0.07 7 0.493 -9.649 1.595 0.641 -3.845 2.350 419.876 1199.968 4019.032 -0.380 -0.015 0.028 -0.02 -0.65 0.76 0.03
1 0.08 8 0.436 -9.620 1.671 1.770 -1.770 3.387 464.847 1124.867 4169.084 -0.322 -0.044 -0.047 -0.02 -0.65 0.76 0.03
1 0.09 9 0.350 -9.697 1.714 0.732 -0.824 2.563 569.929 1199.968 4094.133 -0.237 0.033 -0.088 -0.02 -0.65 0.76 0.03
1 0.10 10 0.426 -9.520 1.614 -0.336 -1.465 2.380 569.929 1199.968 4094.133 -0.315 -0.144 0.013 -0.02 -0.65 0.76 0.03
1 0.11 11 0.311 -9.754 1.456 -1.862 -3.174 1.709 389.896 1199.968 3989.051 -0.202 0.091 0.169 -0.02 -0.65 0.76 0.03
1 0.12 12 0.239 -9.639 1.398 -1.831 -4.334 1.160 554.938 1139.857 4079.143 -0.130 -0.025 0.222 -0.02 -0.65 0.76 0.03
1 0.13 13 0.402 -9.754 1.422 -2.136 -5.585 0.732 479.987 1094.887 4079.143 -0.293 0.089 0.194 -0.02 -0.65 0.76 0.03
1 0.14 14 0.417 -9.793 1.484 -2.533 -8.301 1.099 479.987 1094.887 4079.143 -0.305 0.127 0.127 -0.02 -0.65 0.76 0.03
1 0.15 15 0.364 -9.936 1.652 -1.556 -9.460 1.007 494.978 1079.896 3989.051 -0.250 0.269 -0.046 -0.02 -0.65 0.76 0.03
1 0.16 16 0.575 -9.951 1.757 -0.061 -8.881 2.472 554.938 1169.988 4079.143 -0.459 0.283 -0.154 -0.02 -0.65 0.76 0.03
1 0.17 17 0.551 -9.783 1.767 0.610 -7.629 3.479 554.938 1169.988 4079.143 -0.433 0.116 -0.164 -0.02 -0.65 0.76 0.03
1 0.18 18 0.757 -9.807 1.729 1.617 -3.021 3.815 374.906 1094.887 4079.143 -0.639 0.140 -0.122 -0.02 -0.65 0.76 0.03
1 0.19 19 0.627 -9.587 1.710 2.380 -0.549 3.693 404.886 1139.857 4109.123 -0.511 -0.079 -0.099 -0.02 -0.65 0.76 0.03
1 0.20 20 0.623 -9.544 1.642 2.655 -1.038 4.303 569.929 1049.916 4094.133 -0.508 -0.122 -0.028 -0.02 -0.65 0.76 0.03
1 0.21 21 0.579 -9.467 1.585 2.289 -1.617 3.235 569.929 1049.916 4094.133 -0.466 -0.198 0.033 -0.02 -0.65 0.76 0.03
1 0.22 22 0.426 -9.529 1.528 1.648 -2.319 2.991 539.948 1229.949 4124.113 -0.314 -0.135 0.093 -0.02 -0.65 0.76 0.03
1 0.23 23 0.536 -9.429 1.638 -0.397 -0.824 1.587 449.857 1244.939 4079.143 -0.425 -0.235 -0.015 -0.02 -0.65 0.76 0.03
1 0.24 24 0.460 -9.572 1.537 -0.916 -1.038 1.434 449.857 1244.939 4079.143 -0.347 -0.092 0.085 -0.02 -0.65 0.76 0.03
1 0.25 25 0.249 -9.644 1.465 -0.854 0.641 0.885 509.968 1214.958 4154.094 -0.135 -0.020 0.155 -0.02 -0.65 0.76 0.03
1 0.26 26 0.168 -9.788 1.259 0.000 -0.092 0.519 464.847 1124.867 4094.133 -0.052 0.123 0.357 -0.02 -0.65 0.76 0.03
1 0.27 27 0.172 -9.769 1.207 1.129 -2.777 1.099 539.948 1199.968 4019.032 -0.055 0.103 0.407 -0.02 -0.65 0.76 0.03
1 0.28 28 0.239 -9.826 1.398 -0.061 -4.334 0.854 539.948 1199.968 4019.032 -0.122 0.161 0.215 -0.02 -0.65 0.76 0.03
1 0.29 29 0.374 -9.922 1.523 0.366 -6.683 0.610 449.857 1244.939 4184.074 -0.255 0.256 0.088 -0.02 -0.65 0.76 0.03
1 0.30 30 0.646 -9.807 1.666 0.061 -7.996 1.404 509.968 1289.910 4049.012 -0.526 0.141 -0.057 -0.02 -0.65 0.76 0.03
